Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginNewManuscript,Chrome 65.0.3325.181,,2018-03-27 10:26:59,2018-03-27 10:27:29,30.203s,PASSED
,,,,,,
Test Cases/Sign In/Sign In flow,Chrome 65.0.3325.181,,2018-03-27 10:27:00,2018-03-27 10:27:08,8.620s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:27:00,2018-03-27 10:27:03,2.588s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:27:03,2018-03-27 10:27:07,4.746s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:27:07,2018-03-27 10:27:07,0.028s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:07,2018-03-27 10:27:08,0.117s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:08,0.220s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:08,0.009s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:08,0.075s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:08,0.185s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:08,0.121s,PASSED
,,,,,,
Test Cases/Add new manuscript/Add a new manuscript,Chrome 65.0.3325.181,,2018-03-27 10:27:08,2018-03-27 10:27:29,20.946s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:27:09,2018-03-27 10:27:10,1.003s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:27:10,2018-03-27 10:27:15,5.212s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.083s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.184s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.080s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.203s,PASSED
Statement - loginButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/login),Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.104s,PASSED
Statement - New = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/New),Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:15,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:15,2018-03-27 10:27:19,3.147s,PASSED
Statement - journal = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Journal),Chrome 65.0.3325.181,,2018-03-27 10:27:19,2018-03-27 10:27:19,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:19,2018-03-27 10:27:22,3.159s,PASSED
Statement - hindawiFaraday = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/HindawiFaraday),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.011s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.146s,PASSED
Statement - issue = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Issue),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.088s,PASSED
Statement - regularIssues = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/RegularIssues),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.132s,PASSED
Statement - nextButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Next),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.185s,PASSED
Statement - hasEmail = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEmail),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.006s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:22,0.188s,PASSED
Statement - hasManuscript = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasManuscript),Chrome 65.0.3325.181,,2018-03-27 10:27:22,2018-03-27 10:27:23,0.006s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.130s,PASSED
Statement - hasEfiles = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEfiles),Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.006s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.125s,PASSED
Statement - awareAndAccept = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/awareAndAccept),Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.004s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.133s,PASSED
Statement - hasOrcid = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasOrcid),Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.006s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:27:23,2018-03-27 10:27:23,0.125s,PASSED
