Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginNewManuscriptResume,Chrome 65.0.3325.181,,2018-03-27 10:28:04,2018-03-27 10:28:47,43.228s,PASSED
,,,,,,
Test Cases/Sign In/Sign In flow,Chrome 65.0.3325.181,,2018-03-27 10:28:05,2018-03-27 10:28:14,9.149s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:28:05,2018-03-27 10:28:08,2.997s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:28:08,2018-03-27 10:28:13,4.739s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:13,0.026s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:13,0.163s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:13,0.234s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:13,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:13,0.082s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:28:13,2018-03-27 10:28:14,0.211s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:14,2018-03-27 10:28:14,0.109s,PASSED
,,,,,,
Test Cases/Add new manuscript/Add a new manuscript,Chrome 65.0.3325.181,,2018-03-27 10:28:14,2018-03-27 10:28:34,20.016s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:28:14,2018-03-27 10:28:15,1.063s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:28:15,2018-03-27 10:28:20,4.649s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.008s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.085s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.198s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.082s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.196s,PASSED
Statement - loginButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/login),Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:20,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:20,2018-03-27 10:28:21,0.098s,PASSED
Statement - New = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/New),Chrome 65.0.3325.181,,2018-03-27 10:28:21,2018-03-27 10:28:21,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:21,2018-03-27 10:28:24,3.160s,PASSED
Statement - journal = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Journal),Chrome 65.0.3325.181,,2018-03-27 10:28:24,2018-03-27 10:28:24,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:24,2018-03-27 10:28:26,2.692s,PASSED
Statement - hindawiFaraday = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/HindawiFaraday),Chrome 65.0.3325.181,,2018-03-27 10:28:26,2018-03-27 10:28:26,0.009s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:26,2018-03-27 10:28:27,0.138s,PASSED
Statement - issue = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Issue),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.093s,PASSED
Statement - regularIssues = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/RegularIssues),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.125s,PASSED
Statement - nextButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Next),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.174s,PASSED
Statement - hasEmail = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEmail),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.005s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.203s,PASSED
Statement - hasManuscript = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasManuscript),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.009s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.171s,PASSED
Statement - hasEfiles = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEfiles),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.005s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.125s,PASSED
Statement - awareAndAccept = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/awareAndAccept),Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:27,0.004s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:27,2018-03-27 10:28:28,0.126s,PASSED
Statement - hasOrcid = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasOrcid),Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.005s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.131s,PASSED
Statement - submissionInstitutional = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/submissionInstitutional),Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.005s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.154s,PASSED
Statement - Next = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/Next),Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.282s,PASSED
Statement - manuscriptTitle = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/manuscriptAuthorsDetails/manuscriptTitle),Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:28,0.085s,PASSED
sendKeys,Chrome 65.0.3325.181,,2018-03-27 10:28:28,2018-03-27 10:28:29,0.249s,PASSED
Statement - manuscriptType = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/manuscriptAuthorsDetails/manuscriptType),Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.005s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.116s,PASSED
Statement - research = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/manuscriptAuthorsDetails/Research),Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.003s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.177s,PASSED
Statement - abstractField = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/manuscriptAuthorsDetails/abstractField),Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.003s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.116s,PASSED
sendKeys,Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.419s,PASSED
Statement - addAuthor = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/manuscriptAuthorsDetails/addAuthor),Chrome 65.0.3325.181,,2018-03-27 10:28:29,2018-03-27 10:28:29,0.003s,PASSED
