Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginNewUserEdit,Chrome 65.0.3325.181,,2018-03-27 10:31:16,2018-03-27 10:32:00,43.504s,PASSED
,,,,,,
Test Cases/Sign In/Sign In flow,Chrome 65.0.3325.181,,2018-03-27 10:31:17,2018-03-27 10:31:26,9.257s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:31:17,2018-03-27 10:31:20,2.515s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:31:20,2018-03-27 10:31:25,5.350s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:31:25,2018-03-27 10:31:25,0.014s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:25,2018-03-27 10:31:25,0.123s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:31:25,2018-03-27 10:31:26,0.298s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:26,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:26,0.101s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:26,0.219s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:26,0.118s,PASSED
,,,,,,
Test Cases/Add new manuscript/Add a new manuscript,Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:47,20.889s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-27 10:31:26,2018-03-27 10:31:27,1.081s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 10:31:27,2018-03-27 10:31:33,5.341s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/username),Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.111s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.194s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/password),Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.007s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.083s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.190s,PASSED
Statement - loginButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/login),Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.099s,PASSED
Statement - New = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/New),Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:33,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:33,2018-03-27 10:31:37,3.164s,PASSED
Statement - journal = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Journal),Chrome 65.0.3325.181,,2018-03-27 10:31:37,2018-03-27 10:31:37,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:37,2018-03-27 10:31:39,2.710s,PASSED
Statement - hindawiFaraday = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/HindawiFaraday),Chrome 65.0.3325.181,,2018-03-27 10:31:39,2018-03-27 10:31:39,0.010s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:39,2018-03-27 10:31:40,0.132s,PASSED
Statement - issue = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Issue),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.012s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.098s,PASSED
Statement - regularIssues = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/RegularIssues),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.008s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.118s,PASSED
Statement - nextButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/journalfFieldSelection/Next),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.006s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.205s,PASSED
Statement - hasEmail = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEmail),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.008s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.168s,PASSED
Statement - hasManuscript = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasManuscript),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.010s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.180s,PASSED
Statement - hasEfiles = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasEfiles),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.007s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.121s,PASSED
Statement - awareAndAccept = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/awareAndAccept),Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:40,0.007s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:40,2018-03-27 10:31:41,0.158s,PASSED
Statement - hasOrcid = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/hasOrcid),Chrome 65.0.3325.181,,2018-03-27 10:31:41,2018-03-27 10:31:41,0.008s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:41,2018-03-27 10:31:41,0.126s,PASSED
Statement - submissionInstitutional = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NewManuscript/preSubmissionChecklist/submissionInstitutional),Chrome 65.0.3325.181,,2018-03-27 10:31:41,2018-03-27 10:31:41,0.004s,PASSED
check,Chrome 65.0.3325.181,,2018-03-27 10:31:41,2018-03-27 10:31:41,0.139s,PASSED
