Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
loginFilterManuscripts,Chrome 65.0.3325.162,,2018-03-22 13:18:40,2018-03-22 13:19:17,36.671s,PASSED
,,,,,,
Test Cases/Sign In/Sign In flow,Chrome 65.0.3325.162,,2018-03-22 13:18:41,2018-03-22 13:18:53,12.373s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-22 13:18:41,2018-03-22 13:18:44,3.047s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-22 13:18:44,2018-03-22 13:18:52,7.993s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:18:52,2018-03-22 13:18:52,0.148s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-22 13:18:52,2018-03-22 13:18:53,0.263s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:18:53,2018-03-22 13:18:53,0.115s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-22 13:18:53,2018-03-22 13:18:53,0.222s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:18:53,2018-03-22 13:18:53,0.115s,PASSED
,,,,,,
Test Cases/Filter Manuscripts/Filter the manuscripts,Chrome 65.0.3325.162,,2018-03-22 13:18:53,2018-03-22 13:19:17,23.711s,PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-22 13:18:53,2018-03-22 13:18:54,1.171s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-22 13:18:54,2018-03-22 13:19:01,6.437s,PASSED
Statement - username = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/usernameField),Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.010s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.086s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.202s,PASSED
Statement - password = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/passwordField),Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.005s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.106s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.204s,PASSED
Statement - loginButton = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SignIn/LoginButton),Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:01,0.006s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:01,2018-03-22 13:19:02,0.101s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.162,,2018-03-22 13:19:02,2018-03-22 13:19:02,0.005s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:02,2018-03-22 13:19:05,3.183s,PASSED
Statement - submitted = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Submitted),Chrome 65.0.3325.162,,2018-03-22 13:19:05,2018-03-22 13:19:05,0.005s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:05,2018-03-22 13:19:05,0.109s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 13:19:05,2018-03-22 13:19:07,2.098s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.162,,2018-03-22 13:19:07,2018-03-22 13:19:07,0.004s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:07,2018-03-22 13:19:07,0.055s,PASSED
Statement - draft = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Draft),Chrome 65.0.3325.162,,2018-03-22 13:19:07,2018-03-22 13:19:07,0.007s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:07,2018-03-22 13:19:07,0.131s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 13:19:07,2018-03-22 13:19:09,2.049s,PASSED
Statement - status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/Status),Chrome 65.0.3325.162,,2018-03-22 13:19:09,2018-03-22 13:19:09,0.004s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:09,2018-03-22 13:19:09,0.054s,PASSED
Statement - all = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(ManuscriptFilters/All),Chrome 65.0.3325.162,,2018-03-22 13:19:09,2018-03-22 13:19:09,0.008s,PASSED
click,Chrome 65.0.3325.162,,2018-03-22 13:19:09,2018-03-22 13:19:09,0.121s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 13:19:09,2018-03-22 13:19:13,3.088s,PASSED
scrollToPosition,Chrome 65.0.3325.162,,2018-03-22 13:19:13,2018-03-22 13:19:13,0.020s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 13:19:13,2018-03-22 13:19:15,2.051s,PASSED
scrollToPosition,Chrome 65.0.3325.162,,2018-03-22 13:19:15,2018-03-22 13:19:15,0.010s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 13:19:15,2018-03-22 13:19:17,2.050s,PASSED
closeBrowser,Chrome 65.0.3325.162,,2018-03-22 13:19:17,2018-03-22 13:19:17,0.120s,PASSED
